change_id,pipeline_id,record_id,data,data_before,operation,is_deleted,source_table,source_schema,event_time,ingested_at
ff3794e9c914b50fc114e913ea81e533,pipe_8346d51ff0ca,17,"{""created_at"":""2026-02-01T15:28:55.393Z"",""date"":""2026-02-01T00:00:00.000Z"",""employee_id"":11,""id"":17,""payment_type"":""Cash"",""time"":""15:28:55"",""total_discount"":""0.00"",""total_price"":""920.00"",""updated_at"":""2026-02-01T15:28:55.393Z"",""weekday"":""Sunday""}",,CREATE,false,sales,public,2026-02-01 08:28:56.547000 UTC,2026-02-01 08:28:57.142000 UTC
3417de791e5abee8761f494f3e7486d7,pipe_8346d51ff0ca,18,"{""created_at"":""2026-02-01T15:39:36.347Z"",""date"":""2025-11-26T00:00:00.000Z"",""employee_id"":13,""id"":18,""payment_type"":""Cash"",""time"":""11:03:00"",""total_discount"":""0.00"",""total_price"":""3880.00"",""updated_at"":""2026-02-01T15:39:36.347Z"",""weekday"":""Tuesday""}",,CREATE,false,sales,public,2026-02-01 08:39:42.155000 UTC,2026-02-01 08:39:42.923000 UTC
50b2ba6f0eee101748f855c02fab7af2,pipe_8346d51ff0ca,19,"{""created_at"":""2026-02-01T15:39:36.389Z"",""date"":""2025-11-21T00:00:00.000Z"",""employee_id"":11,""id"":19,""payment_type"":""Mobile"",""time"":""14:15:00"",""total_discount"":""0.00"",""total_price"":""28.00"",""updated_at"":""2026-02-01T15:39:36.389Z"",""weekday"":""Saturday""}",,CREATE,false,sales,public,2026-02-01 08:39:43.655000 UTC,2026-02-01 08:39:44.112000 UTC
f3f54395b21131be6d53c0617b81f07d,pipe_8346d51ff0ca,20,"{""created_at"":""2026-02-01T15:39:36.393Z"",""date"":""2025-12-02T00:00:00.000Z"",""employee_id"":13,""id"":20,""payment_type"":""Mobile"",""time"":""19:33:00"",""total_discount"":""0.00"",""total_price"":""1380.00"",""updated_at"":""2026-02-01T15:39:36.393Z"",""weekday"":""Saturday""}",,CREATE,false,sales,public,2026-02-01 08:39:44.356000 UTC,2026-02-01 08:39:44.815000 UTC
587a3d79d26d9cdfd276c7dfed87dade,pipe_8346d51ff0ca,21,"{""created_at"":""2026-02-01T15:39:36.397Z"",""date"":""2026-01-08T00:00:00.000Z"",""employee_id"":16,""id"":21,""payment_type"":""Card"",""time"":""17:41:00"",""total_discount"":""0.00"",""total_price"":""7.50"",""updated_at"":""2026-02-01T15:39:36.397Z"",""weekday"":""Sunday""}",,CREATE,false,sales,public,2026-02-01 08:39:44.956000 UTC,2026-02-01 08:39:45.406000 UTC
bba7887300020f09391d1a3bf03b6ebb,pipe_8346d51ff0ca,22,"{""created_at"":""2026-02-01T15:39:36.400Z"",""date"":""2025-12-14T00:00:00.000Z"",""employee_id"":17,""id"":22,""payment_type"":""Mobile"",""time"":""11:11:00"",""total_discount"":""0.00"",""total_price"":""1399.00"",""updated_at"":""2026-02-01T15:39:36.400Z"",""weekday"":""Monday""}",,CREATE,false,sales,public,2026-02-01 08:39:46.255000 UTC,2026-02-01 08:39:46.507000 UTC
36c8ff37e0959e74aa4553c817ce6a39,pipe_8346d51ff0ca,23,"{""created_at"":""2026-02-01T15:39:36.404Z"",""date"":""2026-01-10T00:00:00.000Z"",""employee_id"":13,""id"":23,""payment_type"":""Card"",""time"":""17:43:00"",""total_discount"":""0.00"",""total_price"":""975.00"",""updated_at"":""2026-02-01T15:39:36.404Z"",""weekday"":""Friday""}",,CREATE,false,sales,public,2026-02-01 08:39:46.655000 UTC,2026-02-01 08:39:47.005000 UTC
841555351a5ccf98549cb0899c96bf24,pipe_8346d51ff0ca,24,"{""created_at"":""2026-02-01T15:39:36.408Z"",""date"":""2025-12-03T00:00:00.000Z"",""employee_id"":18,""id"":24,""payment_type"":""Cash"",""time"":""09:06:00"",""total_discount"":""0.00"",""total_price"":""950.00"",""updated_at"":""2026-02-01T15:39:36.408Z"",""weekday"":""Wednesday""}",,CREATE,false,sales,public,2026-02-01 08:39:47.255000 UTC,2026-02-01 08:39:48.506000 UTC
ce16189d8fbc24e6f6fc1fd57f649626,pipe_8346d51ff0ca,24,"{""created_at"":""2026-02-01T15:39:36.408Z"",""date"":""2025-12-03T00:00:00.000Z"",""employee_id"":18,""id"":24,""payment_type"":""Cash"",""time"":""09:06:00"",""total_discount"":""0.00"",""total_price"":""950.00"",""updated_at"":""2026-02-01T15:39:36.408Z"",""weekday"":""Wednesday""}",,CREATE,false,sales,public,2026-02-01 08:39:48.455000 UTC,2026-02-01 08:39:49.414000 UTC
b7b86adbf26ea184de49e62fe62119fb,pipe_8346d51ff0ca,25,"{""created_at"":""2026-02-01T15:39:36.413Z"",""date"":""2026-01-16T00:00:00.000Z"",""employee_id"":12,""id"":25,""payment_type"":""Card"",""time"":""12:14:00"",""total_discount"":""0.00"",""total_price"":""6.00"",""updated_at"":""2026-02-01T15:39:36.413Z"",""weekday"":""Wednesday""}",,CREATE,false,sales,public,2026-02-01 08:39:49.955000 UTC,2026-02-01 08:39:50.906000 UTC
