holiday_date,holiday_name,is_fixed_date,description
2025-01-01,New Year's Day,true,Start of the calendar year
2025-01-20,Martin Luther King Jr. Day,false,Birthday of MLK Jr.
2025-02-17,Presidents' Day,false,Washington's Birthday
2025-05-26,Memorial Day,false,Honoring military personnel
2025-06-19,Juneteenth,true,Juneteenth National Independence Day
2025-07-04,Independence Day,true,U.S. Declaration of Independence
2025-09-01,Labor Day,false,Contribution of workers
2025-10-13,Columbus Day,false,Indigenous Peoples' Day
2025-11-11,Veterans Day,true,Honoring military veterans
2025-11-27,Thanksgiving Day,false,Feast of thanks
2025-12-25,Christmas Day,true,Christian holiday
2026-01-01,New Year's Day,true,Start of the calendar year
2026-01-19,Martin Luther King Jr. Day,false,Birthday of MLK Jr.
2026-02-16,Presidents' Day,false,Washington's Birthday
2026-05-25,Memorial Day,false,Honoring military personnel
2026-06-19,Juneteenth,true,Juneteenth National Independence Day
2026-07-04,Independence Day,true,U.S. Declaration of Independence
2026-09-07,Labor Day,false,Contribution of workers
2026-10-12,Columbus Day,false,Indigenous Peoples' Day
2026-11-11,Veterans Day,true,Honoring military veterans
2026-11-26,Thanksgiving Day,false,Feast of thanks
2026-12-25,Christmas Day,true,Christian holiday
